,0,1,2
0,98.75,77.875,37.0
1,1.0,21.75,62.5
2,0.25,0.375,0.5
3,93.625,90.625,60.25
4,6.375,8.625,38.375
5,0.0,0.75,1.375
6,88.375,83.0,51.74999999999999
7,10.625,15.5,46.625
8,1.0,1.5,1.625
9,99.625,62.875,50.74999999999999
10,0.375,22.75,47.75
11,0.0,14.374999999999998,1.5
12,91.875,65.125,31.874999999999996
13,8.0,34.625,67.875
14,0.125,0.25,0.25
15,97.25,91.75,56.75
16,2.625,7.875,42.5
17,0.125,0.375,0.75
18,99.875,83.875,44.0
19,0.125,15.875,55.875
20,0.0,0.25,0.125
21,87.0,93.625,32.75
22,12.875,6.375,67.25
23,0.125,0.0,0.0
24,98.875,80.0,40.75
25,1.0,18.625,58.62500000000001
26,0.125,1.375,0.625
27,90.375,84.625,64.625
28,9.5,15.375,33.875
29,0.125,0.0,1.5
30,98.875,78.75,44.125
31,1.125,21.25,54.50000000000001
32,0.0,0.0,1.375
33,90.5,64.25,65.875
34,7.249999999999999,35.75,33.875
35,2.25,0.0,0.25
36,96.375,88.875,73.0
37,3.6249999999999996,10.5,25.374999999999996
38,0.0,0.625,1.625
39,98.5,83.875,48.25
40,1.5,15.875,51.74999999999999
41,0.0,0.25,0.0
42,91.0,80.875,64.125
43,8.875,19.125,35.625
44,0.125,0.0,0.25
45,95.875,72.0,47.0
46,4.125,27.750000000000004,52.87500000000001
47,0.0,0.25,0.125
48,99.25,73.625,31.25
49,0.75,25.624999999999996,68.5
50,0.0,0.75,0.25
51,97.875,71.0,45.125
52,2.0,28.875,54.75
53,0.125,0.125,0.125
54,98.75,57.125,45.125
55,1.25,38.25,54.75
56,0.0,4.625,0.125
57,96.625,88.0,50.875
58,3.375,12.0,48.125
59,0.0,0.0,1.0
60,99.125,84.5,27.625
61,0.625,14.875,72.375
62,0.25,0.625,0.0
63,99.75,67.0,57.49999999999999
64,0.25,33.0,42.375
65,0.0,0.0,0.125
66,91.25,72.0,34.75
67,8.625,27.750000000000004,65.125
68,0.125,0.25,0.125
69,96.25,67.125,53.75
70,3.0,28.249999999999996,45.75
71,0.75,4.625,0.5
72,99.125,85.0,46.25
73,0.8750000000000001,14.000000000000002,53.625
74,0.0,1.0,0.125
75,93.875,70.0,69.625
76,6.0,29.75,30.25
77,0.125,0.25,0.125
78,94.5,81.625,54.25
79,5.5,11.625,35.125
80,0.0,6.75,10.625
81,92.5,91.125,38.25
82,5.125,8.875,59.875
83,2.375,0.0,1.875
84,90.5,78.5,35.625
85,9.375,20.625,64.375
86,0.125,0.8750000000000001,0.0
87,92.5,76.625,48.125
88,7.5,23.375,51.24999999999999
89,0.0,0.0,0.625
90,97.0,81.375,65.0
91,2.75,18.25,35.0
92,0.25,0.375,0.0
93,99.125,82.0,29.125
94,0.8750000000000001,17.875,69.875
95,0.0,0.125,1.0
96,99.5,68.75,55.25
97,0.5,30.25,44.625
98,0.0,1.0,0.125
99,98.5,77.125,67.75
100,1.25,22.75,31.75
101,0.25,0.125,0.5
102,99.25,86.5,60.0
103,0.625,11.75,36.375
104,0.125,1.7500000000000002,3.6249999999999996
105,88.375,81.875,82.875
106,11.25,18.0,16.875
107,0.375,0.125,0.25
108,92.75,76.0,52.0
109,2.875,24.0,46.625
110,4.375,0.0,1.375
111,98.75,79.875,33.625
112,1.25,19.75,65.875
113,0.0,0.375,0.5
114,95.875,55.375,42.875
115,3.875,43.5,55.625
116,0.25,1.125,1.5
117,94.25,76.125,55.875
118,5.5,23.5,43.625
119,0.25,0.375,0.5
120,97.75,73.5,43.625
121,1.5,26.375,56.375
122,0.75,0.125,0.0
123,86.625,83.5,59.62499999999999
124,13.375,15.875,40.0
125,0.0,0.625,0.375
126,94.25,67.75,56.75
127,5.375,31.25,43.0
128,0.375,1.0,0.25
129,94.375,79.25,49.5
130,5.5,20.75,50.5
131,0.125,0.0,0.0
132,97.875,79.75,50.24999999999999
133,2.0,20.0,49.375
134,0.125,0.25,0.375
135,92.875,80.875,30.375000000000004
136,7.124999999999999,18.375,67.875
137,0.0,0.75,1.7500000000000002
138,94.875,74.375,37.125
139,3.6249999999999996,24.75,62.875
140,1.5,0.8750000000000001,0.0
141,90.125,82.25,79.875
142,9.875,17.625,20.125
